"","V1"
"v411s","tinned, powdered or fresh milk was sweetened"
"v411a","gave child baby formula"
"v412","na - gave child fresh milk"
"v412a","na - gave child fortified baby food (cerelac, etc)"
"v412b","na - gave child other porridge/gruel"
"v412c","gave child soup/clear broth"
"v413","gave child other liquid"
"v413s","other liquid was sweetened"
"v413a","gave child yogurt as a drink - lassi"
"v413as","yogurt as a drink was sweetened - lassi"
"v413b","na - gave child soy milk"
"v413bs","na - soy milk was sweetened"
"v413c","gave child chocolate flavored drinks (horlicks, bournvita, viva)"
"v413d","gave child sodas/malt/sports/energy drinks"
"v413e","na - gave child cs liquid"
"v413f","na - gave child cs liquid"
"v413g","na - gave child cs liquid"
"v413h","na - gave child cs liquid"
"v413i","na - gave child cs liquid"
"v414a","gave child any other vegetables"
"v414b","gave child sausages, hot dogs, frankfurters, ham, bacon, salami, canned food"
"v414c","gave child nuts, seeds"
"v414d","na - gave child any insects"
"v414e","gave child rice, paratha, naan, roti or other foods made from grains"
"v414f","gave child plantains, potatoes, cassava, or other tubers"
"v414g","gave child eggs"
"v414h","gave child any other meat (beef, pork, lamb, chicken, etc)"
"v414i","gave child pumpkin, carrots, squash (yellow or orange inside)"
"v414j","gave child any dark green leafy vegetables"
"v414k","gave child mangoes, papayas, other vitamin a fruits"
"v414l","gave child any other fruits"
"v414m","gave child liver, heart, other organs"
"v414n","gave child fish or shellfish"
"v414o","gave child food made from beans, peas, lentils"
"v414p","gave child hard/soft cheese"
"v414q","na - gave child oil, fats, butter, products made of them"
"v414r","gave child any sweet food such as cake, biscuits, cookies, jeri/jalebi, mithai,"
"v414s","gave child other solid-semisolid food"
"v414t","gave child chips, crisps, french fries, fried dough, instant noodles"
"v414u","na - gave child red palm oil"
"v414v","gave child yogurt"
"v414w","na - gave child [common sentinel sweet food] - na"
"v414wa","gave child gundruk, braised-fenugreek greens, or broccoli - cs"
"v414wb","na - gave child cs foods"
"v414wc","na - gave child cs foods"
"v414wd","na - gave child cs foods"
"v414we","na - gave child cs foods"
"v465","disposal of youngest child's stools when not using toilet"
"v469e","times gave child powdered/tinned/fresh milk"
"v469f","times gave child infant formula"
"v469x","times gave child yogurt"
"v486","last 6 months, health care provider advised what to feed to child"
"hidx_1","index to birth history"
"hidx_2","index to birth history"
"hidx_3","index to birth history"
"hidx_4","index to birth history"
"hidx_5","index to birth history"
"hidx_6","index to birth history"
"h1_1","has health card"
"h1_2","has health card"
"h1_3","has health card"
"h1_4","has health card"
"h1_5","has health card"
"h1_6","has health card"
"h1a_1","has health card and or other vaccination document"
"h1a_2","has health card and or other vaccination document"
"h1a_3","has health card and or other vaccination document"
"h1a_4","has health card and or other vaccination document"
"h1a_5","has health card and or other vaccination document"
"h1a_6","has health card and or other vaccination document"
"h2_1","received bcg"
"h2_2","received bcg"
"h2_3","received bcg"
"h2_4","received bcg"
"h2_5","received bcg"
"h2_6","received bcg"
"h2d_1","bcg day"
"h2d_2","bcg day"
"h2d_3","bcg day"
"h2d_4","bcg day"
"h2d_5","bcg day"
"h2d_6","bcg day"
"h2m_1","bcg month"
"h2m_2","bcg month"
"h2m_3","bcg month"
"h2m_4","bcg month"
"h2m_5","bcg month"
"h2m_6","bcg month"
"h2y_1","bcg year"
"h2y_2","bcg year"
"h2y_3","bcg year"
"h2y_4","bcg year"
"h2y_5","bcg year"
"h2y_6","bcg year"
"h3_1","received dpt 1"
"h3_2","received dpt 1"
"h3_3","received dpt 1"
"h3_4","received dpt 1"
"h3_5","received dpt 1"
"h3_6","received dpt 1"
"h3d_1","dpt 1 day"
"h3d_2","dpt 1 day"
"h3d_3","dpt 1 day"
"h3d_4","dpt 1 day"
"h3d_5","dpt 1 day"
"h3d_6","dpt 1 day"
"h3m_1","dpt 1 month"
"h3m_2","dpt 1 month"
"h3m_3","dpt 1 month"
"h3m_4","dpt 1 month"
"h3m_5","dpt 1 month"
"h3m_6","dpt 1 month"
"h3y_1","dpt 1 year"
"h3y_2","dpt 1 year"
"h3y_3","dpt 1 year"
"h3y_4","dpt 1 year"
"h3y_5","dpt 1 year"
"h3y_6","dpt 1 year"
"h4_1","received polio 1"
"h4_2","received polio 1"
"h4_3","received polio 1"
"h4_4","received polio 1"
"h4_5","received polio 1"
"h4_6","received polio 1"
"h4d_1","polio 1 day"
"h4d_2","polio 1 day"
"h4d_3","polio 1 day"
"h4d_4","polio 1 day"
"h4d_5","polio 1 day"
"h4d_6","polio 1 day"
"h4m_1","polio 1 month"
"h4m_2","polio 1 month"
"h4m_3","polio 1 month"
"h4m_4","polio 1 month"
"h4m_5","polio 1 month"
"h4m_6","polio 1 month"
"h4y_1","polio 1 year"
"h4y_2","polio 1 year"
"h4y_3","polio 1 year"
"h4y_4","polio 1 year"
"h4y_5","polio 1 year"
"h4y_6","polio 1 year"
"h5_1","received dpt 2"
"h5_2","received dpt 2"
"h5_3","received dpt 2"
"h5_4","received dpt 2"
"h5_5","received dpt 2"
"h5_6","received dpt 2"
"h5d_1","dpt 2 day"
"h5d_2","dpt 2 day"
"h5d_3","dpt 2 day"
"h5d_4","dpt 2 day"
"h5d_5","dpt 2 day"
"h5d_6","dpt 2 day"
"h5m_1","dpt 2 month"
"h5m_2","dpt 2 month"
"h5m_3","dpt 2 month"
"h5m_4","dpt 2 month"
"h5m_5","dpt 2 month"
"h5m_6","dpt 2 month"
"h5y_1","dpt 2 year"
"h5y_2","dpt 2 year"
"h5y_3","dpt 2 year"
"h5y_4","dpt 2 year"
"h5y_5","dpt 2 year"
"h5y_6","dpt 2 year"
"h6_1","received polio 2"
"h6_2","received polio 2"
"h6_3","received polio 2"
"h6_4","received polio 2"
"h6_5","received polio 2"
"h6_6","received polio 2"
"h6d_1","polio 2 day"
"h6d_2","polio 2 day"
"h6d_3","polio 2 day"
"h6d_4","polio 2 day"
"h6d_5","polio 2 day"
"h6d_6","polio 2 day"
"h6m_1","polio 2 month"
"h6m_2","polio 2 month"
"h6m_3","polio 2 month"
"h6m_4","polio 2 month"
"h6m_5","polio 2 month"
"h6m_6","polio 2 month"
"h6y_1","polio 2 year"
"h6y_2","polio 2 year"
"h6y_3","polio 2 year"
"h6y_4","polio 2 year"
"h6y_5","polio 2 year"
"h6y_6","polio 2 year"
"h7_1","received dpt 3"
"h7_2","received dpt 3"
"h7_3","received dpt 3"
"h7_4","received dpt 3"
"h7_5","received dpt 3"
"h7_6","received dpt 3"
"h7d_1","dpt 3 day"
"h7d_2","dpt 3 day"
"h7d_3","dpt 3 day"
"h7d_4","dpt 3 day"
"h7d_5","dpt 3 day"
"h7d_6","dpt 3 day"
"h7m_1","dpt 3 month"
"h7m_2","dpt 3 month"
"h7m_3","dpt 3 month"
"h7m_4","dpt 3 month"
"h7m_5","dpt 3 month"
"h7m_6","dpt 3 month"
"h7y_1","dpt 3 year"
"h7y_2","dpt 3 year"
"h7y_3","dpt 3 year"
"h7y_4","dpt 3 year"
"h7y_5","dpt 3 year"
"h7y_6","dpt 3 year"
"h8_1","received polio 3"
"h8_2","received polio 3"
"h8_3","received polio 3"
"h8_4","received polio 3"
"h8_5","received polio 3"
"h8_6","received polio 3"
"h8d_1","polio 3 day"
"h8d_2","polio 3 day"
"h8d_3","polio 3 day"
"h8d_4","polio 3 day"
"h8d_5","polio 3 day"
"h8d_6","polio 3 day"
"h8m_1","polio 3 month"
"h8m_2","polio 3 month"
"h8m_3","polio 3 month"
"h8m_4","polio 3 month"
"h8m_5","polio 3 month"
"h8m_6","polio 3 month"
"h8y_1","polio 3 year"
"h8y_2","polio 3 year"
"h8y_3","polio 3 year"
"h8y_4","polio 3 year"
"h8y_5","polio 3 year"
"h8y_6","polio 3 year"
"h9_1","received measles 1"
"h9_2","received measles 1"
"h9_3","received measles 1"
"h9_4","received measles 1"
"h9_5","received measles 1"
"h9_6","received measles 1"
"h9d_1","measles 1 day"
"h9d_2","measles 1 day"
"h9d_3","measles 1 day"
"h9d_4","measles 1 day"
"h9d_5","measles 1 day"
"h9d_6","measles 1 day"
"h9m_1","measles 1 month"
"h9m_2","measles 1 month"
"h9m_3","measles 1 month"
"h9m_4","measles 1 month"
"h9m_5","measles 1 month"
"h9m_6","measles 1 month"
"h9y_1","measles 1 year"
"h9y_2","measles 1 year"
"h9y_3","measles 1 year"
"h9y_4","measles 1 year"
"h9y_5","measles 1 year"
"h9y_6","measles 1 year"
"h9a_1","received measles 2"
"h9a_2","received measles 2"
"h9a_3","received measles 2"
"h9a_4","received measles 2"
"h9a_5","received measles 2"
"h9a_6","received measles 2"
"h9ad_1","measles 2 day"
"h9ad_2","measles 2 day"
"h9ad_3","measles 2 day"
"h9ad_4","measles 2 day"
"h9ad_5","measles 2 day"
"h9ad_6","measles 2 day"
"h9am_1","measles 2 month"
"h9am_2","measles 2 month"
"h9am_3","measles 2 month"
"h9am_4","measles 2 month"
"h9am_5","measles 2 month"
"h9am_6","measles 2 month"
"h9ay_1","measles 2 year"
"h9ay_2","measles 2 year"
"h9ay_3","measles 2 year"
"h9ay_4","measles 2 year"
"h9ay_5","measles 2 year"
"h9ay_6","measles 2 year"
"h0_1","na - received polio 0"
"h0_2","na - received polio 0"
"h0_3","na - received polio 0"
"h0_4","na - received polio 0"
"h0_5","na - received polio 0"
"h0_6","na - received polio 0"
"h0d_1","na - polio 0 day"
"h0d_2","na - polio 0 day"
"h0d_3","na - polio 0 day"
"h0d_4","na - polio 0 day"
"h0d_5","na - polio 0 day"
"h0d_6","na - polio 0 day"
"h0m_1","na - polio 0 month"
"h0m_2","na - polio 0 month"
"h0m_3","na - polio 0 month"
"h0m_4","na - polio 0 month"
"h0m_5","na - polio 0 month"
"h0m_6","na - polio 0 month"
"h0y_1","na - polio 0 year"
"h0y_2","na - polio 0 year"
"h0y_3","na - polio 0 year"
"h0y_4","na - polio 0 year"
"h0y_5","na - polio 0 year"
"h0y_6","na - polio 0 year"
"h10_1","ever had vaccination"
"h10_2","ever had vaccination"
"h10_3","ever had vaccination"
"h10_4","ever had vaccination"
"h10_5","ever had vaccination"
"h10_6","ever had vaccination"
"h25d_1","day of birth from vaccination card"
"h25d_2","day of birth from vaccination card"
"h25d_3","day of birth from vaccination card"
"h25d_4","day of birth from vaccination card"
"h25d_5","day of birth from vaccination card"
"h25d_6","day of birth from vaccination card"
"h25m_1","month of birth from vaccination card"
"h25m_2","month of birth from vaccination card"
"h25m_3","month of birth from vaccination card"
"h25m_4","month of birth from vaccination card"
"h25m_5","month of birth from vaccination card"
"h25m_6","month of birth from vaccination card"
"h25y_1","year of birth from vaccination card"
"h25y_2","year of birth from vaccination card"
"h25y_3","year of birth from vaccination card"
"h25y_4","year of birth from vaccination card"
"h25y_5","year of birth from vaccination card"
"h25y_6","year of birth from vaccination card"
"h26_1","photograph of vaccination card available"
"h26_2","photograph of vaccination card available"
"h26_3","photograph of vaccination card available"
"h26_4","photograph of vaccination card available"
"h26_5","photograph of vaccination card available"
"h26_6","photograph of vaccination card available"
"h33_1","received vitamin a1 (most recent)"
"h33_2","received vitamin a1 (most recent)"
"h33_3","received vitamin a1 (most recent)"
"h33_4","received vitamin a1 (most recent)"
"h33_5","received vitamin a1 (most recent)"
"h33_6","received vitamin a1 (most recent)"
"h33d_1","vitamin a1 day"
"h33d_2","vitamin a1 day"
"h33d_3","vitamin a1 day"
"h33d_4","vitamin a1 day"
"h33d_5","vitamin a1 day"
"h33d_6","vitamin a1 day"
"h33m_1","vitamin a1 month"
"h33m_2","vitamin a1 month"
"h33m_3","vitamin a1 month"
"h33m_4","vitamin a1 month"
"h33m_5","vitamin a1 month"
"h33m_6","vitamin a1 month"
"h33y_1","vitamin a1 year"
"h33y_2","vitamin a1 year"
"h33y_3","vitamin a1 year"
"h33y_4","vitamin a1 year"
"h33y_5","vitamin a1 year"
"h33y_6","vitamin a1 year"
"h40_1","na - received vitamin a2 (2nd most recent)"
"h40_2","na - received vitamin a2 (2nd most recent)"
"h40_3","na - received vitamin a2 (2nd most recent)"
"h40_4","na - received vitamin a2 (2nd most recent)"
"h40_5","na - received vitamin a2 (2nd most recent)"
"h40_6","na - received vitamin a2 (2nd most recent)"
"h40d_1","na - vitamin a2 day"
"h40d_2","na - vitamin a2 day"
"h40d_3","na - vitamin a2 day"
"h40d_4","na - vitamin a2 day"
"h40d_5","na - vitamin a2 day"
"h40d_6","na - vitamin a2 day"
"h40m_1","na - vitamin a2 month"
"h40m_2","na - vitamin a2 month"
"h40m_3","na - vitamin a2 month"
"h40m_4","na - vitamin a2 month"
"h40m_5","na - vitamin a2 month"
"h40m_6","na - vitamin a2 month"
"h40y_1","na - vitamin a2 year"
"h40y_2","na - vitamin a2 year"
"h40y_3","na - vitamin a2 year"
"h40y_4","na - vitamin a2 year"
"h40y_5","na - vitamin a2 year"
"h40y_6","na - vitamin a2 year"
"h50_1","na - received hepatitis b at birth"
"h50_2","na - received hepatitis b at birth"
"h50_3","na - received hepatitis b at birth"
"h50_4","na - received hepatitis b at birth"
"h50_5","na - received hepatitis b at birth"
"h50_6","na - received hepatitis b at birth"
"h50d_1","na - hepatitis b at birth day"
"h50d_2","na - hepatitis b at birth day"
"h50d_3","na - hepatitis b at birth day"
"h50d_4","na - hepatitis b at birth day"
"h50d_5","na - hepatitis b at birth day"
"h50d_6","na - hepatitis b at birth day"
"h50m_1","na - hepatitis b at birth month"
"h50m_2","na - hepatitis b at birth month"
"h50m_3","na - hepatitis b at birth month"
"h50m_4","na - hepatitis b at birth month"
"h50m_5","na - hepatitis b at birth month"
"h50m_6","na - hepatitis b at birth month"
"h50y_1","na - hepatitis b at birth year"
"h50y_2","na - hepatitis b at birth year"
"h50y_3","na - hepatitis b at birth year"
"h50y_4","na - hepatitis b at birth year"
"h50y_5","na - hepatitis b at birth year"
"h50y_6","na - hepatitis b at birth year"
"h51_1","received pentavalent 1"
"h51_2","received pentavalent 1"
"h51_3","received pentavalent 1"
"h51_4","received pentavalent 1"
"h51_5","received pentavalent 1"
"h51_6","received pentavalent 1"
"h51d_1","pentavalent 1 day"
"h51d_2","pentavalent 1 day"
"h51d_3","pentavalent 1 day"
"h51d_4","pentavalent 1 day"
"h51d_5","pentavalent 1 day"
"h51d_6","pentavalent 1 day"
"h51m_1","pentavalent 1 month"
"h51m_2","pentavalent 1 month"
"h51m_3","pentavalent 1 month"
"h51m_4","pentavalent 1 month"
"h51m_5","pentavalent 1 month"
"h51m_6","pentavalent 1 month"
"h51y_1","pentavalent 1 year"
"h51y_2","pentavalent 1 year"
"h51y_3","pentavalent 1 year"
"h51y_4","pentavalent 1 year"
"h51y_5","pentavalent 1 year"
"h51y_6","pentavalent 1 year"
"h52_1","received pentavalent 2"
"h52_2","received pentavalent 2"
"h52_3","received pentavalent 2"
"h52_4","received pentavalent 2"
"h52_5","received pentavalent 2"
"h52_6","received pentavalent 2"
"h52d_1","pentavalent 2 day"
"h52d_2","pentavalent 2 day"
"h52d_3","pentavalent 2 day"
"h52d_4","pentavalent 2 day"
"h52d_5","pentavalent 2 day"
"h52d_6","pentavalent 2 day"
"h52m_1","pentavalent 2 month"
"h52m_2","pentavalent 2 month"
"h52m_3","pentavalent 2 month"
"h52m_4","pentavalent 2 month"
"h52m_5","pentavalent 2 month"
"h52m_6","pentavalent 2 month"
"h52y_1","pentavalent 2 year"
"h52y_2","pentavalent 2 year"
"h52y_3","pentavalent 2 year"
"h52y_4","pentavalent 2 year"
"h52y_5","pentavalent 2 year"
"h52y_6","pentavalent 2 year"
"h53_1","received pentavalent 3"
"h53_2","received pentavalent 3"
"h53_3","received pentavalent 3"
"h53_4","received pentavalent 3"
"h53_5","received pentavalent 3"
"h53_6","received pentavalent 3"
"h53d_1","pentavalent 3 day"
"h53d_2","pentavalent 3 day"
"h53d_3","pentavalent 3 day"
"h53d_4","pentavalent 3 day"
"h53d_5","pentavalent 3 day"
"h53d_6","pentavalent 3 day"
"h53m_1","pentavalent 3 month"
"h53m_2","pentavalent 3 month"
"h53m_3","pentavalent 3 month"
"h53m_4","pentavalent 3 month"
"h53m_5","pentavalent 3 month"
"h53m_6","pentavalent 3 month"
"h53y_1","pentavalent 3 year"
"h53y_2","pentavalent 3 year"
"h53y_3","pentavalent 3 year"
"h53y_4","pentavalent 3 year"
"h53y_5","pentavalent 3 year"
"h53y_6","pentavalent 3 year"
"h54_1","received pneumococcal 1"
"h54_2","received pneumococcal 1"
"h54_3","received pneumococcal 1"
"h54_4","received pneumococcal 1"
"h54_5","received pneumococcal 1"
"h54_6","received pneumococcal 1"
"h54d_1","pneumococcal 1 day"
"h54d_2","pneumococcal 1 day"
"h54d_3","pneumococcal 1 day"
"h54d_4","pneumococcal 1 day"
"h54d_5","pneumococcal 1 day"
"h54d_6","pneumococcal 1 day"
"h54m_1","pneumococcal 1 month"
"h54m_2","pneumococcal 1 month"
"h54m_3","pneumococcal 1 month"
"h54m_4","pneumococcal 1 month"
"h54m_5","pneumococcal 1 month"
"h54m_6","pneumococcal 1 month"
"h54y_1","pneumococcal 1 year"
"h54y_2","pneumococcal 1 year"
"h54y_3","pneumococcal 1 year"
"h54y_4","pneumococcal 1 year"
"h54y_5","pneumococcal 1 year"
"h54y_6","pneumococcal 1 year"
"h55_1","received pneumococcal 2"
"h55_2","received pneumococcal 2"
"h55_3","received pneumococcal 2"
"h55_4","received pneumococcal 2"
"h55_5","received pneumococcal 2"
"h55_6","received pneumococcal 2"
"h55d_1","pneumococcal 2 day"
"h55d_2","pneumococcal 2 day"
"h55d_3","pneumococcal 2 day"
"h55d_4","pneumococcal 2 day"
"h55d_5","pneumococcal 2 day"
"h55d_6","pneumococcal 2 day"
"h55m_1","pneumococcal 2 month"
"h55m_2","pneumococcal 2 month"
"h55m_3","pneumococcal 2 month"
"h55m_4","pneumococcal 2 month"
"h55m_5","pneumococcal 2 month"
"h55m_6","pneumococcal 2 month"
"h55y_1","pneumococcal 2 year"
"h55y_2","pneumococcal 2 year"
"h55y_3","pneumococcal 2 year"
"h55y_4","pneumococcal 2 year"
"h55y_5","pneumococcal 2 year"
"h55y_6","pneumococcal 2 year"
"h56_1","received pneumococcal 3"
"h56_2","received pneumococcal 3"
"h56_3","received pneumococcal 3"
"h56_4","received pneumococcal 3"
"h56_5","received pneumococcal 3"
"h56_6","received pneumococcal 3"
"h56d_1","pneumococcal 3 day"
"h56d_2","pneumococcal 3 day"
"h56d_3","pneumococcal 3 day"
"h56d_4","pneumococcal 3 day"
"h56d_5","pneumococcal 3 day"
"h56d_6","pneumococcal 3 day"
"h56m_1","pneumococcal 3 month"
"h56m_2","pneumococcal 3 month"
"h56m_3","pneumococcal 3 month"
"h56m_4","pneumococcal 3 month"
"h56m_5","pneumococcal 3 month"
"h56m_6","pneumococcal 3 month"
"h56y_1","pneumococcal 3 year"
"h56y_2","pneumococcal 3 year"
"h56y_3","pneumococcal 3 year"
"h56y_4","pneumococcal 3 year"
"h56y_5","pneumococcal 3 year"
"h56y_6","pneumococcal 3 year"
"h57_1","received rotavirus 1"
"h57_2","received rotavirus 1"
"h57_3","received rotavirus 1"
"h57_4","received rotavirus 1"
"h57_5","received rotavirus 1"
"h57_6","received rotavirus 1"
"h57d_1","rotavirus 1 day"
"h57d_2","rotavirus 1 day"
"h57d_3","rotavirus 1 day"
"h57d_4","rotavirus 1 day"
"h57d_5","rotavirus 1 day"
"h57d_6","rotavirus 1 day"
"h57m_1","rotavirus 1 month"
"h57m_2","rotavirus 1 month"
"h57m_3","rotavirus 1 month"
"h57m_4","rotavirus 1 month"
"h57m_5","rotavirus 1 month"
"h57m_6","rotavirus 1 month"
"h57y_1","rotavirus 1 year"
"h57y_2","rotavirus 1 year"
"h57y_3","rotavirus 1 year"
"h57y_4","rotavirus 1 year"
"h57y_5","rotavirus 1 year"
"h57y_6","rotavirus 1 year"
"h58_1","received rotavirus 2"
"h58_2","received rotavirus 2"
"h58_3","received rotavirus 2"
"h58_4","received rotavirus 2"
"h58_5","received rotavirus 2"
"h58_6","received rotavirus 2"
"h58d_1","rotavirus 2 day"
"h58d_2","rotavirus 2 day"
"h58d_3","rotavirus 2 day"
"h58d_4","rotavirus 2 day"
"h58d_5","rotavirus 2 day"
"h58d_6","rotavirus 2 day"
"h58m_1","rotavirus 2 month"
"h58m_2","rotavirus 2 month"
"h58m_3","rotavirus 2 month"
"h58m_4","rotavirus 2 month"
"h58m_5","rotavirus 2 month"
"h58m_6","rotavirus 2 month"
"h58y_1","rotavirus 2 year"
"h58y_2","rotavirus 2 year"
"h58y_3","rotavirus 2 year"
"h58y_4","rotavirus 2 year"
"h58y_5","rotavirus 2 year"
"h58y_6","rotavirus 2 year"
"h59_1","na - received rotavirus 3"
"h59_2","na - received rotavirus 3"
"h59_3","na - received rotavirus 3"
"h59_4","na - received rotavirus 3"
"h59_5","na - received rotavirus 3"
"h59_6","na - received rotavirus 3"
"h59d_1","na - rotavirus 3 day"
"h59d_2","na - rotavirus 3 day"
"h59d_3","na - rotavirus 3 day"
"h59d_4","na - rotavirus 3 day"
"h59d_5","na - rotavirus 3 day"
"h59d_6","na - rotavirus 3 day"
"h59m_1","na - rotavirus 3 month"
"h59m_2","na - rotavirus 3 month"
"h59m_3","na - rotavirus 3 month"
"h59m_4","na - rotavirus 3 month"
"h59m_5","na - rotavirus 3 month"
"h59m_6","na - rotavirus 3 month"
"h59y_1","na - rotavirus 3 year"
"h59y_2","na - rotavirus 3 year"
"h59y_3","na - rotavirus 3 year"
"h59y_4","na - rotavirus 3 year"
"h59y_5","na - rotavirus 3 year"
"h59y_6","na - rotavirus 3 year"
"h60_1","received inactivated polio (fipv1)"
"h60_2","received inactivated polio (fipv1)"
"h60_3","received inactivated polio (fipv1)"
"h60_4","received inactivated polio (fipv1)"
"h60_5","received inactivated polio (fipv1)"
"h60_6","received inactivated polio (fipv1)"
"h60d_1","inactivated polio (fipv1) day"
"h60d_2","inactivated polio (fipv1) day"
"h60d_3","inactivated polio (fipv1) day"
"h60d_4","inactivated polio (fipv1) day"
"h60d_5","inactivated polio (fipv1) day"
"h60d_6","inactivated polio (fipv1) day"
"h60m_1","inactivated polio (fipv1) month"
"h60m_2","inactivated polio (fipv1) month"
"h60m_3","inactivated polio (fipv1) month"
"h60m_4","inactivated polio (fipv1) month"
"h60m_5","inactivated polio (fipv1) month"
"h60m_6","inactivated polio (fipv1) month"
"h60y_1","inactivated polio (fipv1) year"
"h60y_2","inactivated polio (fipv1) year"
"h60y_3","inactivated polio (fipv1) year"
"h60y_4","inactivated polio (fipv1) year"
"h60y_5","inactivated polio (fipv1) year"
"h60y_6","inactivated polio (fipv1) year"
"h61_1","received hepatitis b 1"
"h61_2","received hepatitis b 1"
"h61_3","received hepatitis b 1"
"h61_4","received hepatitis b 1"
"h61_5","received hepatitis b 1"
"h61_6","received hepatitis b 1"
"h61d_1","hepatitis b 1 day"
"h61d_2","hepatitis b 1 day"
"h61d_3","hepatitis b 1 day"
"h61d_4","hepatitis b 1 day"
"h61d_5","hepatitis b 1 day"
"h61d_6","hepatitis b 1 day"
"h61m_1","hepatitis b 1 month"
"h61m_2","hepatitis b 1 month"
"h61m_3","hepatitis b 1 month"
"h61m_4","hepatitis b 1 month"
"h61m_5","hepatitis b 1 month"
"h61m_6","hepatitis b 1 month"
"h61y_1","hepatitis b 1 year"
"h61y_2","hepatitis b 1 year"
"h61y_3","hepatitis b 1 year"
"h61y_4","hepatitis b 1 year"
"h61y_5","hepatitis b 1 year"
"h61y_6","hepatitis b 1 year"
"h62_1","received hepatitis b 2"
"h62_2","received hepatitis b 2"
"h62_3","received hepatitis b 2"
"h62_4","received hepatitis b 2"
"h62_5","received hepatitis b 2"
"h62_6","received hepatitis b 2"
"h62d_1","hepatitis b 2 day"
"h62d_2","hepatitis b 2 day"
"h62d_3","hepatitis b 2 day"
"h62d_4","hepatitis b 2 day"
"h62d_5","hepatitis b 2 day"
"h62d_6","hepatitis b 2 day"
"h62m_1","hepatitis b 2 month"
"h62m_2","hepatitis b 2 month"
"h62m_3","hepatitis b 2 month"
"h62m_4","hepatitis b 2 month"
"h62m_5","hepatitis b 2 month"
"h62m_6","hepatitis b 2 month"
"h62y_1","hepatitis b 2 year"
"h62y_2","hepatitis b 2 year"
"h62y_3","hepatitis b 2 year"
"h62y_4","hepatitis b 2 year"
"h62y_5","hepatitis b 2 year"
"h62y_6","hepatitis b 2 year"
"h63_1","received hepatitis b 3"
"h63_2","received hepatitis b 3"
"h63_3","received hepatitis b 3"
"h63_4","received hepatitis b 3"
"h63_5","received hepatitis b 3"
"h63_6","received hepatitis b 3"
"h63d_1","hepatitis b 3 day"
"h63d_2","hepatitis b 3 day"
"h63d_3","hepatitis b 3 day"
"h63d_4","hepatitis b 3 day"
"h63d_5","hepatitis b 3 day"
"h63d_6","hepatitis b 3 day"
"h63m_1","hepatitis b 3 month"
"h63m_2","hepatitis b 3 month"
"h63m_3","hepatitis b 3 month"
"h63m_4","hepatitis b 3 month"
"h63m_5","hepatitis b 3 month"
"h63m_6","hepatitis b 3 month"
"h63y_1","hepatitis b 3 year"
"h63y_2","hepatitis b 3 year"
"h63y_3","hepatitis b 3 year"
"h63y_4","hepatitis b 3 year"
"h63y_5","hepatitis b 3 year"
"h63y_6","hepatitis b 3 year"
"h64_1","received hib 1"
"h64_2","received hib 1"
"h64_3","received hib 1"
"h64_4","received hib 1"
"h64_5","received hib 1"
"h64_6","received hib 1"
"h64d_1","hib 1 day"
"h64d_2","hib 1 day"
"h64d_3","hib 1 day"
"h64d_4","hib 1 day"
"h64d_5","hib 1 day"
"h64d_6","hib 1 day"
"h64m_1","hib 1 month"
"h64m_2","hib 1 month"
"h64m_3","hib 1 month"
"h64m_4","hib 1 month"
"h64m_5","hib 1 month"
"h64m_6","hib 1 month"
"h64y_1","hib 1 year"
"h64y_2","hib 1 year"
"h64y_3","hib 1 year"
"h64y_4","hib 1 year"
"h64y_5","hib 1 year"
"h64y_6","hib 1 year"
"h65_1","received hib 2"
"h65_2","received hib 2"
"h65_3","received hib 2"
"h65_4","received hib 2"
"h65_5","received hib 2"
"h65_6","received hib 2"
"h65d_1","hib 2 day"
"h65d_2","hib 2 day"
"h65d_3","hib 2 day"
"h65d_4","hib 2 day"
"h65d_5","hib 2 day"
"h65d_6","hib 2 day"
"h65m_1","hib 2 month"
"h65m_2","hib 2 month"
"h65m_3","hib 2 month"
"h65m_4","hib 2 month"
"h65m_5","hib 2 month"
"h65m_6","hib 2 month"
"h65y_1","hib 2 year"
"h65y_2","hib 2 year"
"h65y_3","hib 2 year"
"h65y_4","hib 2 year"
"h65y_5","hib 2 year"
"h65y_6","hib 2 year"
"h66_1","received hib 3"
"h66_2","received hib 3"
"h66_3","received hib 3"
"h66_4","received hib 3"
"h66_5","received hib 3"
"h66_6","received hib 3"
"h66d_1","hib 3 day"
"h66d_2","hib 3 day"
"h66d_3","hib 3 day"
"h66d_4","hib 3 day"
"h66d_5","hib 3 day"
"h66d_6","hib 3 day"
"h66m_1","hib 3 month"
"h66m_2","hib 3 month"
"h66m_3","hib 3 month"
"h66m_4","hib 3 month"
"h66m_5","hib 3 month"
"h66m_6","hib 3 month"
"h66y_1","hib 3 year"
"h66y_2","hib 3 year"
"h66y_3","hib 3 year"
"h66y_4","hib 3 year"
"h66y_5","hib 3 year"
"h66y_6","hib 3 year"
"h67_1","na - received pentavalent 4"
"h67_2","na - received pentavalent 4"
"h67_3","na - received pentavalent 4"
"h67_4","na - received pentavalent 4"
"h67_5","na - received pentavalent 4"
"h67_6","na - received pentavalent 4"
"h67d_1","na - pentavalent 4 day"
"h67d_2","na - pentavalent 4 day"
"h67d_3","na - pentavalent 4 day"
"h67d_4","na - pentavalent 4 day"
"h67d_5","na - pentavalent 4 day"
"h67d_6","na - pentavalent 4 day"
"h67m_1","na - pentavalent 4 month"
"h67m_2","na - pentavalent 4 month"
